lgdCode,name,nameTa,typeCode
252810,Koothanallur,Koothanallur,5
252752,Koothappar,கூத்தப்பார்,7
252805,Koradacheri,கொரடாச்சேரி,7
252601,Kotagiri,கோத்தகிரி,5
253053,Kothanallur,கோதைநல்லூர்,7
252860,Kottaiyur,கோட்டையூர்,7
252440,Kottakuppam,கோட்டக்குப்பம்,5
253088,Kottaram,கொட்டாரம்,7
252681,Kottur,கோட்டூர்,7
252962,Kovilpatti,Kovilpatti,5
252402,Krishnagiri,Krishnagiri,5
252729,Krishnarayapuram,கிருஷ்ணராயபுரம்,7
252909,Kuchanur,குச்சனூர்,7
252544,Kugalur,கூகலூர்,7
253050,Kulasekaram,குலசேகரம்,7
252731,Kulithalai,Kulithalai,5
253052,Kumarapuram,குமாரபுரம்,7
252823,Kumbakonam,Kumbakonam,4
252298,Kundrathur,குன்றத்தூர்,5
252556,Kunnathur,குன்னத்தூர்,7
252775,Kurinjipadi,குறிஞ்சிப்பாடி,7
252761,Kurumbalur,குறும்பலூர்,7
252795,Kuthalam,குத்தாலம்,7
253038,Kuzhithurai,Kuzhithurai,5
252763,Labbaikudikadu,லப்பைக்குடிகாடு,7
252545,Lakkampatti,லக்கம்பட்டி,7
252747,Lalgudi,லால்குடி,5
252784,Lalpet,லால்பேட்டை,7
252685,Madathukulam,மடத்துக்குளம்,7
252665,Madukkarai,மதுக்கரை,5
252838,Madukkur,மதுக்கூர்,7
252889,Madurai,Madurai,4
252347,Madurantakam,மதுராந்தகம்,5
252946,Mallankinaru,மல்லாங்கிணறு,7
252501,Mallasamudram,மல்லசமுத்திரம்,7
252485,Mallur,மல்லூர்,7
252344,Mamallapuram,மாமல்லபுரம்,5
252931,Mamsapuram,மம்சாபுரம்,7
252743,Manachanallur,மண்ணச்சநல்லூர்,7
252793,Manalmedu,மணல்மேடு,7
252444,Manalurpet,மணலூர்பேட்டை,7
252868,Manamadurai,மானாமதுரை,5
252757,Manapparai,Manapparai,5
253069,Manavalakurichi,மணவாளக்குறிச்சி,7
253070,Mandaikadu,மண்டைக்காடு,7
252959,Mandapam,மண்டபம்,7
252295,Mangadu,மாங்காடு,5
252786,Mangalampet,மங்கலம்பேட்டை,7
253023,Manimutharu,மணிமுத்தாறு,7
252811,Mannargudi,Mannargudi,5
252330,Maraimalainagar,Maraimalainagar,5
252439,Marakkanam,மரக்காணம்,7
252407,Marandahalli,மாரண்டஹள்ளி,7
252910,Markayankottai,மார்க்கையன்கோட்டை,7
252732,Marudur,மருதூர்,7
253078,Marungur,மருங்கூர்,7
252794,Mayiladuthurai,Mayiladuthurai,5
252454,Mecheri,மேச்சேரி,7
252898,Melachokkanathapuram,மேலச்சொக்கநாதபுரம்,7
253000,Melagaram,மேலகரம்,7
253021,Melaseval,மேலச்சேவல்,7
252832,Melathiruppanthuruthi,மேலத்திருப்பந்துருத்தி,7
252828,Melattur,மெலட்டூர்,7
252768,Melpattampakkam,மேல்பட்டாம்பாக்கம்,7
252871,Melur,Melur,5
252366,Melvisharam,Melvisharam,5
252612,Mettupalayam,Mettupalayam,5
252736,Mettupalayam,மேட்டுப்பாளையம்,7
252457,Mettur,Mettur,5
252265,Minjur,மீஞ்சூர்,7
252573,Modakkurichi,மொடக்குறிச்சி,7
252521,Mohanur,மோகனூர்,7
253024,Moolaikaraipatti,மூலைக்கரைப்பட்டி,7
252627,Mopperipalayam,மோப்பேரிபாளையம்,7
252953,Mudukulathur,முதுகுளத்தூர்,7
253013,Mukkudal,முக்கூடல்,7
253057,Mulagumudu,முளகுமூடு,7
252590,Mulanur,மூலனூர்,7
